name,slug,parent_slug,sort_order,description
Laser Nozzle,laser-nozzle,,10,"Providing you the best range of single layer bodor laser nozzle, precitec laser nozzle, chrome plated laser nozzle, 26mm ospiri laser nozzle, laser ceramic nozzle and fiber optic sensor cable with effective & timely delivery."
Ceramic Rings,ceramic-rings,,20,
New Items,new-items,,30,
Focus Lenses,focus-lenses,,40,
Cutting Head,cutting-head,,50,
Remote Controller,remote-controller,,60,
Insulation Ring,insulation-ring,,70,
Protective Lens,protective-lens,,80,
Bellow Cover,bellow-cover,,90,
Cotton Swabs,cotton-swabs,,100,"Providing you the best range of cotton swab - large - l - 121mm, cotton swab - small - l - 70 mm and cotton swab - medium - l - 100mm with effective & timely delivery."
Laser Cutting Services 2D and 3D,laser-cutting-services-2d-and-3d,,110,
Laser Lense,laser-lense,,120,"Providing you the best range of ophir mazak co2 laser lense, 355nm fused silica laser lense and 400mm raycus laser lense with effective & timely delivery."
Lens Cleaning Tissue,lens-cleaning-tissue,,130,
SMC Solenoid Valve,smc-solenoid-valve,,140,
Ceramic Holder,ceramic-holder,,150,Providing you the best range of precitec ceramic holder and 8mm ceramic holder with effective & timely delivery.
Collimation Lens,collimation-lens,,160,
Fiber Metal Laser Cutting Machine,fiber-metal-laser-cutting-machine,,170,
Focusing Lens,focusing-lens,,180,
Laser Machine Parts,laser-machine-parts,,190,
Laser Mirror,laser-mirror,,200,
Lens Cleaner,lens-cleaner,,210,
Nozzle Holder,nozzle-holder,,220,
Pneumatic Air Filter,pneumatic-air-filter,,230,
Rubber Bellows,rubber-bellows,,240,
3D Laser Cutting Machine,3d-laser-cutting-machine,,250,
Alignment Paper,alignment-paper,,260,
Contact Lens Cleaners,contact-lens-cleaners,,270,
Copper Rings,copper-rings,,280,
Electron Triode Tube,electron-triode-tube,,290,
FESTO filters,festo-filters,,300,
INNER OUTER CONE,inner-outer-cone,,310,
Laser Cutting Head Cables,laser-cutting-head-cables,,320,
Laser Cutting Machine,laser-cutting-machine,,330,
Laser Cutting Machine Lens,laser-cutting-machine-lens,,340,
Laser Cutting Nozzles,laser-cutting-nozzles,,350,
Laser Equipment Parts,laser-equipment-parts,,360,Providing you the best range of laser equipment parts with effective & timely delivery.
Laser Filters,laser-filters,,370,
Laser Lens,laser-lens,,380,
Laser Machine Mirror,laser-machine-mirror,,390,
Laser Machine Spare Parts,laser-machine-spare-parts,,400,We are offering replacement Hyco vacuum pumps forTrumpf® CO2 laser systems. These are direct drop inreplacements.We offer both the original hardwire version and thenewer plug version; the only aftermarket options thatprovide the exact OEM specifications.
Laser Safety Goggles,laser-safety-goggles,,410,
Liquid Cleaner,liquid-cleaner,,420,
Nozzle,nozzle,,430,
Optical Lenses,optical-lenses,,440,
Plasma Consumables,plasma-consumables,,450,
Precision Machined Components,precision-machined-components,,460,
Senso Head,senso-head,,470,
Swab Gestrict,swab-gestrict,,480,
Timing Belt,timing-belt,,490,
Trumpf Lenses,trumpf-lenses,,500,Providing you the best range of ophir laser lenses with effective & timely delivery.
Machine Lens,machine-lens,,510,
