name,slug,data_type,default_scope,unit,is_filterable,sort_order
Material,material,STRING,PRODUCT,,false,10
Brand,brand,STRING,PRODUCT,,false,20
Usage/Application,usage-application,STRING,PRODUCT,,false,30
Laser Type,laser-type,STRING,PRODUCT,,true,40
Color,color,STRING,PRODUCT,,false,50
Country of Origin,country-of-origin,STRING,PRODUCT,,true,60
Application,application,STRING,PRODUCT,,true,70
Focal Length,focal-length,STRING,PRODUCT,,true,80
Diameter,diameter,STRING,PRODUCT,,true,90
Lens Type,lens-type,STRING,PRODUCT,,true,100
Laser Wavelength,laser-wavelength,STRING,PRODUCT,,true,110
Shape,shape,STRING,PRODUCT,,true,120
Power Handling,power-handling,STRING,PRODUCT,,true,130
Coating,coating,STRING,PRODUCT,,true,140
Type,type,STRING,PRODUCT,,true,150
Packaging Type,packaging-type,STRING,PRODUCT,,true,160
Marking Speed Capacity,marking-speed-capacity,STRING,PRODUCT,,true,170
Nozzle Diameter,nozzle-diameter,STRING,PRODUCT,,true,180
Size,size,STRING,PRODUCT,,true,190
Model Name/Number,model-name-number,STRING,PRODUCT,,true,200
Design Method,design-method,STRING,PRODUCT,,true,210
Height,height,STRING,PRODUCT,,true,220
Marking Depth,marking-depth,STRING,PRODUCT,,true,230
Corrosion Resistance,corrosion-resistance,STRING,PRODUCT,,true,240
Marking Speed,marking-speed,STRING,PRODUCT,,true,250
Thickness,thickness,STRING,PRODUCT,,true,260
Assist Gas,assist-gas,STRING,PRODUCT,,true,270
Mount Type,mount-type,STRING,PRODUCT,,true,280
Outer Diameter,outer-diameter,STRING,PRODUCT,,true,290
Max Laser Power,max-laser-power,STRING,PRODUCT,,true,300
Cooling Method,cooling-method,STRING,PRODUCT,,true,310
Nozzle Type,nozzle-type,STRING,PRODUCT,,true,320
Ring Type,ring-type,STRING,PRODUCT,,true,330
Process Type,process-type,STRING,PRODUCT,,true,340
Laser Power,laser-power,STRING,PRODUCT,,true,350
Uses,uses,STRING,PRODUCT,,true,360
Inner Diameter,inner-diameter,STRING,PRODUCT,,true,370
Collimation Lens,collimation-lens,STRING,PRODUCT,,true,380
Surface Finish,surface-finish,STRING,PRODUCT,,true,390
Pack Size,pack-size,STRING,PRODUCT,,true,400
Offering Laser,offering-laser,STRING,PRODUCT,,true,410
Ceramic Material,ceramic-material,STRING,PRODUCT,,true,420
Usage,usage,STRING,PRODUCT,,true,430
Monitoring,monitoring,STRING,PRODUCT,,true,440
Surface Finishing,surface-finishing,STRING,PRODUCT,,true,450
Thread Size,thread-size,STRING,PRODUCT,,true,460
Valve Size,valve-size,STRING,PRODUCT,,true,470
Mounting Type,mounting-type,STRING,PRODUCT,,true,480
Part Type,part-type,STRING,PRODUCT,,true,490
Wall Thickness,wall-thickness,STRING,PRODUCT,,true,500
Ring Height,ring-height,STRING,PRODUCT,,true,510
Max Service Temp,max-service-temp,STRING,PRODUCT,,true,520
Finish,finish,STRING,PRODUCT,,true,530
Hardness,hardness,STRING,PRODUCT,,true,540
Copper Grade,copper-grade,STRING,PRODUCT,,true,550
Tip Type,tip-type,STRING,PRODUCT,,true,560
Sterile,sterile,STRING,PRODUCT,,true,570
Bud Color,bud-color,STRING,PRODUCT,,true,580
Packing Type,packing-type,STRING,PRODUCT,,true,590
Voltage,voltage,STRING,PRODUCT,,true,600
Automation Grade,automation-grade,STRING,PRODUCT,,true,610
Feature,feature,STRING,PRODUCT,,true,620
Parts,parts,STRING,PRODUCT,,false,630
Leak Proof,leak-proof,STRING,PRODUCT,,false,640
Features,features,STRING,PRODUCT,,false,650
Finishing Type,finishing-type,STRING,PRODUCT,,false,660
Weight,weight,STRING,PRODUCT,,false,670
Stick Material,stick-material,STRING,PRODUCT,,false,680
Stick Length,stick-length,STRING,PRODUCT,,false,690
Mounting Interface,mounting-interface,STRING,PRODUCT,,false,700
Frame Material,frame-material,STRING,PRODUCT,,false,710
Light Source Type,light-source-type,STRING,PRODUCT,,false,720
Support Laser Power,support-laser-power,STRING,PRODUCT,,false,730
Max Cutting Thickness,max-cutting-thickness,STRING,PRODUCT,,false,740
Job Work Basis,job-work-basis,STRING,PRODUCT,,false,750
