name,slug,website
Amada,amada,
Amada lens assembly,amada-lens-assembly,
BOCI,boci,
BODOR,bodor,
Caplugs,caplugs,
Centricut,centricut,
Centricut / Thermacut,centricut-thermacut,
CP10,cp10,
Donaldson,donaldson,
Festo,festo,
II IV,ii-iv,
IPA,ipa,
Karam,karam,
Kontakt,kontakt,
Max,max,
Mazak,mazak,
montflex,montflex,
Ophir,ophir,
Precetic,precetic,
Precitec,precitec,
Raytool,raytool,
Raytools,raytools,
RayTools Sensor Head,raytools-sensor-head,
Tiffen,tiffen,
Tippen,tippen,
TRUMPF,trumpf,
Trumpf laser machine,trumpf-laser-machine,
WSX,wsx,
WSX/Ospri,wsx-ospri,
ZAP IT,zap-it,
