product_key,name,slug,category_slug,part_brand_slug,product_type,short_description,description,attr:material,attr:brand,attr:usage-application,attr:laser-type,attr:color,attr:country-of-origin,attr:application,attr:focal-length,attr:diameter,attr:lens-type,attr:laser-wavelength,attr:shape,attr:power-handling,attr:coating,attr:type,attr:packaging-type,attr:marking-speed-capacity,attr:nozzle-diameter,attr:size,attr:model-name-number,attr:design-method,attr:height,attr:marking-depth,attr:corrosion-resistance,attr:marking-speed,attr:thickness,attr:assist-gas,attr:mount-type,attr:outer-diameter,attr:max-laser-power,attr:cooling-method,attr:nozzle-type,attr:ring-type,attr:process-type,attr:laser-power,attr:uses,attr:inner-diameter,attr:collimation-lens,attr:surface-finish,attr:pack-size,attr:offering-laser,attr:ceramic-material,attr:usage,attr:monitoring,attr:surface-finishing,attr:thread-size,attr:valve-size,attr:mounting-type,attr:part-type,attr:wall-thickness,attr:ring-height,attr:max-service-temp,attr:finish,attr:hardness,attr:copper-grade,attr:tip-type,attr:sterile,attr:bud-color,attr:packing-type,attr:voltage,attr:automation-grade,attr:feature,attr:parts,attr:leak-proof,attr:features,attr:finishing-type,attr:weight,attr:stick-material,attr:stick-length,attr:mounting-interface,attr:frame-material,attr:light-source-type,attr:support-laser-power,attr:max-cutting-thickness,attr:job-work-basis,attr:usage-industry,attr:service-location,attr:frequency,attr:temperature,attr:power,attr:part-number,attr:aperture,attr:form,attr:pack-volume,attr:tissue-type,attr:tissue-material,attr:country-of-origin-2,attr:gender,attr:is-it-reusable,attr:head-material,attr:total-length,attr:handle-material,attr:output-power,attr:cable-conductor,attr:insulation-material,attr:waterproof,attr:bore-size,attr:connection-type,attr:rubber-material,attr:series-no,attr:anode-dissipation,attr:anode-voltage,attr:available-interfaces,attr:cooling,attr:filter-media,attr:construction,attr:medium-material,attr:efficiency,attr:filter-class,attr:filtration-grade,attr:location,attr:production-capacity,attr:series,attr:power-resolution,attr:media,attr:protection-use,attr:fit-type,attr:inner-size,attr:finish-type,attr:beam-emission-shape,attr:ar-coated,attr:service-material,attr:machine-type,attr:operation-type,attr:max-sheet-size,attr:application-industry,attr:material-supply,attr:file-format,attr:pipe-material,attr:max-pipe-diameter,attr:pipe-shape,attr:cutting-type,attr:pipe-length-handling,attr:compressor-type,attr:cooling-capacity,attr:deep-filtration,attr:pressure,attr:max-flow-rate,attr:number-of-stages,attr:mounting,attr:mirror-type,attr:reflectivity,attr:working-temperature,attr:frame-type,attr:lens-material,attr:base-solvent,attr:formulation-type,attr:grade-standard,attr:pattern,attr:use,attr:packaging-size,attr:sheet-size,attr:by-nozzle-double,attr:by-nozzle-hd,attr:torch-model,attr:current-rating,attr:nozzle-bore,attr:consumable-type,attr:torch-type,attr:vehicle-model,attr:size-inch,attr:length,attr:valve,attr:quantity-per-pack,attr:pitch-series,attr:structure,attr:outer-measurement,attr:anti-fog,attr:head-shape,attr:sterility,attr:tip-material,attr:phone-brand,attr:center-wavelength,attr:modulation-type,attr:motor-voltage,attr:motor-current,attr:control-method,attr:feedback-type,attr:input-control-signal,attr:protection-features,attr:braking-type,attr:brand-name,attr:rf-interface,attr:impedance,attr:maximum-frequency,attr:pin-type,attr:mounting-style,attr:power-rating,attr:control-interface,attr:power-supply,attr:cooling-type,attr:communication,attr:tool-type,attr:compatible-power,attr:compatible-brand,attr:nozzle-outlet-size,attr:gas-type,attr:body-material,attr:capacity,attr:max-sheet-thickness,attr:max-bending-length,attr:bending-accuracy,attr:bending-type,attr:material-grade,attr:supported-format,attr:industry-served,attr:service-mode,attr:aperture-range,attr:focus,attr:cleaner-type,attr:lens-type-compatibility,attr:volume
MAZAK-LASER-NOZZLE,Mazak Laser Nozzle,mazak-laser-nozzle,3d-laser-cutting-machine,mazak,SPARE_PART,We can provide mazak laser nozzle at a very economical rate all across india for laser cutting machines,We can provide mazak laser nozzle at a very economical rate all across india for laser cutting machines,copper,Mazak,laser cutting,CO2,,,,,,,,,,,,,5000 mm/s,14mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAP-IT-LASER-ALIGNMENT-PAPER,Zap IT Laser Alignment Paper,zap-it-laser-alignment-paper,alignment-paper,zap-it,SPARE_PART,"ZAP-IT® Laser Alignment Paper, thermal-sensitive from ultraviolet to infrared; applications include laser beam alignment, beam profiling, and component positioning.","ZAP-IT® Laser Alignment Paper, thermal-sensitive from ultraviolet to infrared; applications include laser beam alignment, beam profiling, and component positioning. Range of operation – pulse width: 1ns to 30ms; power level: 5 mJ/cm² to 20 J/cm². Sheet size: 4 x 8 inches [101.6 x 203.2mm]. Available in packages containing 10, 20, 50 or 100 sheets.",,ZAP IT,,Fiber Laser,,Made in India,Industrial use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Controllers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASER-MACHINE-BELLOW-COVER,Laser Machine Bellow Cover,laser-machine-bellow-cover,bellow-cover,,SPARE_PART,We can provide Laser Machine Bellow Cover at a very economical rate all across india for laser cutting machines,We can provide Laser Machine Bellow Cover at a very economical rate all across india for laser cutting machines,Nylon,,Industrial,,Black,,,,,,,,,,,Box,,,As per required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASER-CUTTING-MACHINE-BELLOW,Laser Cutting Machine Bellow,laser-cutting-machine-bellow,bellow-cover,,SPARE_PART,We can provide Laser cutting machine bellow at a very economical rate all across india for laser cutting machines,We can provide Laser cutting machine bellow at a very economical rate all across india for laser cutting machines,Nylon,,Industrial,,Black,,,,,,,As per required,,,,,,,Custom made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Cutting material : Mild steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662197-BELLOWS-FOLDING,1662197 BELLOWS FOLDING,1662197-bellows-folding,bellow-cover,,SPARE_PART,"Magnetic folding bellows for Trulaser cell 5030,7020,7040,8030 Laser cutting model.The 1662197 Bellows Folding is a specific, high-quality, square, rubber/fabric protective cover (bellows) for TRUMPF laser cutting machines (like Trulaser Cell 5030/7020/8030), designed to shield internal components (spindles, shafts) from dust, sparks, and coolant, ensuring smooth, long-lasting machine performance, often made from heat-resistant, flame-retardant materials for demanding industr","Magnetic folding bellows for Trulaser cell 5030,7020,7040,8030 Laser cutting model.The 1662197 Bellows Folding is a specific, high-quality, square, rubber/fabric protective cover (bellows) for TRUMPF laser cutting machines (like Trulaser Cell 5030/7020/8030), designed to shield internal components (spindles, shafts) from dust, sparks, and coolant, ensuring smooth, long-lasting machine performance, often made from heat-resistant, flame-retardant materials for demanding industrial environments.",Stainless Steel,,,,Black,Made in India,,,,,,C - Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 mm,Flanged,Neoprene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECITEC-CERAMIC-HOLDER,Precitec Ceramic Holder,precitec-ceramic-holder,ceramic-holder,precitec,SPARE_PART,We can provide the CO2 Precitec ceramic holder at a very economical rate all across india for laser cutting machines,We can provide the CO2 Precitec ceramic holder at a very economical rate all across india for laser cutting machines,Alloy Steel and Ceramic,Precitec,Laser cutting,CO2,,,Laser Cutting,,28mm,,,,,,,,,,,,,,11.7 mm,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Protective Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8MM-CERAMIC-HOLDER,8mm Ceramic Holder,8mm-ceramic-holder,ceramic-holder,trumpf,SPARE_PART,"Original nozzle holders guarantee a constant distance between the nozzle and sheet and, together with the nozzle and distance sensor system, ensure optimum cutting results.","Original nozzle holders guarantee a constant distance between the nozzle and sheet and, together with the nozzle and distance sensor system, ensure optimum cutting results.

High-quality raw materials for correct distance regulation and consistent focus position
Long service life due to precise joining process for ceramic and thread insert
Full use of nozzle changer functionality possible when using Genuine parts",Ceramic,TRUMPF,Nozzle Holder,,White,,,,,,,,,,,,,,3 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 mm,,,,,,,,,,,,,,,,Gloss Finishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D32-RAYTOOL-CERAMIC-RING,D32 Raytool Ceramic Ring,d32-raytool-ceramic-ring,ceramic-rings,raytool,SPARE_PART,,,Metal,Raytool,Interior Decor,,,Made in India,,,10 mm,,,,,,,,,,,,Hand Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSPRI-DIA-28-CERAMIC-RING,Ospri Dia 28 Ceramic Ring,ospri-dia-28-ceramic-ring,ceramic-rings,raytools,SPARE_PART,,,,Raytools,Exterior Decor,,,Made in India,,,10 mm,,,,,,,,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOCI-PIPE-CUTTING-TUBE-CUTTING-CERAMIC-RING,Boci Pipe Cutting Tube Cutting Ceramic Ring,boci-pipe-cutting-tube-cutting-ceramic-ring,ceramic-rings,boci,SPARE_PART,,,,BOCI,Promotional Use,,White,,,,10 mm,,,Round,,,,,,,,,Wheel Throwing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
