product_key,sku,part_number,variant_name,uom,pack_size,min_order_qty,stock_status,is_default,position
MAZAK-LASER-NOZZLE,REF-MAZAK-LASER-NOZZLE,REF-MAZAK-LASER-NOZZLE,Standard,PIECE,1,10,MADE_TO_ORDER,true,0
ZAP-IT-LASER-ALIGNMENT-PAPER,REF-ZAP-IT-LASER-ALIGNMENT-PAPER,REF-ZAP-IT-LASER-ALIGNMENT-PAPER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
LASER-MACHINE-BELLOW-COVER,REF-LASER-MACHINE-BELLOW-COVER,REF-LASER-MACHINE-BELLOW-COVER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
LASER-CUTTING-MACHINE-BELLOW,REF-LASER-CUTTING-MACHINE-BELLOW,REF-LASER-CUTTING-MACHINE-BELLOW,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
1662197-BELLOWS-FOLDING,REF-1662197-BELLOWS-FOLDING,REF-1662197-BELLOWS-FOLDING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
PRECITEC-CERAMIC-HOLDER,REF-PRECITEC-CERAMIC-HOLDER,REF-PRECITEC-CERAMIC-HOLDER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
8MM-CERAMIC-HOLDER,REF-8MM-CERAMIC-HOLDER,REF-8MM-CERAMIC-HOLDER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
D32-RAYTOOL-CERAMIC-RING,REF-D32-RAYTOOL-CERAMIC-RING,REF-D32-RAYTOOL-CERAMIC-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
OSPRI-DIA-28-CERAMIC-RING,REF-OSPRI-DIA-28-CERAMIC-RING,REF-OSPRI-DIA-28-CERAMIC-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
BOCI-PIPE-CUTTING-TUBE-CUTTING-CERAMIC-RING,REF-BOCI-PIPE-CUTTING-TUBE-CUTTING-CERAMIC-RING,REF-BOCI-PIPE-CUTTING-TUBE-CUTTING-CERAMIC-RING,Standard,PIECE,1,100,MADE_TO_ORDER,true,0
BS12K-RAYTOOLS-CERAMIC-RING,REF-BS12K-RAYTOOLS-CERAMIC-RING,REF-BS12K-RAYTOOLS-CERAMIC-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
10MM-BOCI-CERAMIC-RING,REF-10MM-BOCI-CERAMIC-RING,REF-10MM-BOCI-CERAMIC-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOL-3D-CERAMIC-RING,REF-RAYTOOL-3D-CERAMIC-RING,REF-RAYTOOL-3D-CERAMIC-RING,Standard,PIECE,1,100,MADE_TO_ORDER,true,0
RAYTOOL-3D-CERAMIC-RING-2,REF-RAYTOOL-3D-CERAMIC-RING-2,REF-RAYTOOL-3D-CERAMIC-RING-2,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
DIA-28-CERAMIC-RING,REF-DIA-28-CERAMIC-RING,REF-DIA-28-CERAMIC-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
DIA-32-CERAMIC-RING-RAYTOOLS,REF-DIA-32-CERAMIC-RING-RAYTOOLS,REF-DIA-32-CERAMIC-RING-RAYTOOLS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
21-4-RAYTOOL-3D-CERAMIC-RING,REF-21-4-RAYTOOL-3D-CERAMIC-RING,REF-21-4-RAYTOOL-3D-CERAMIC-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
PRECITEC-PROCUTTER-CERAMIC-RING,REF-PRECITEC-PROCUTTER-CERAMIC-RING,REF-PRECITEC-PROCUTTER-CERAMIC-RING,Standard,PIECE,1,100,MADE_TO_ORDER,true,0
I-2700-DNE-AIR-OUTLET-RING,REF-I-2700-DNE-AIR-OUTLET-RING,REF-I-2700-DNE-AIR-OUTLET-RING,Standard,PIECE,1,100,MADE_TO_ORDER,true,0
I-3502-DNE-AIR-OUTLET-RING,REF-I-3502-DNE-AIR-OUTLET-RING,REF-I-3502-DNE-AIR-OUTLET-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-CERAMIC-LOCK-RING,REF-RAYTOOLS-CERAMIC-LOCK-RING,REF-RAYTOOLS-CERAMIC-LOCK-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
I-3502-DNE-CERAMIC-RING,REF-I-3502-DNE-CERAMIC-RING,REF-I-3502-DNE-CERAMIC-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
OSPRI-LC608-COLLIMATION-LENS,REF-OSPRI-LC608-COLLIMATION-LENS,REF-OSPRI-LC608-COLLIMATION-LENS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
OSPRI-LC218-COLLIMATION-LENS,REF-OSPRI-LC218-COLLIMATION-LENS,REF-OSPRI-LC218-COLLIMATION-LENS,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
LASER-LENS-CLEANING-STICK,REF-LASER-LENS-CLEANING-STICK,REF-LASER-LENS-CLEANING-STICK,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
DNE-COPPER-RING,REF-DNE-COPPER-RING,REF-DNE-COPPER-RING,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
COTTON-SWAB-LARGE-L-121MM,REF-COTTON-SWAB-LARGE-L-121MM,REF-COTTON-SWAB-LARGE-L-121MM,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
COTTON-SWAB-SMALL-L-70-MM,REF-COTTON-SWAB-SMALL-L-70-MM,REF-COTTON-SWAB-SMALL-L-70-MM,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
COTTON-SWAB-MEDIUM-L-100MM,REF-COTTON-SWAB-MEDIUM-L-100MM,REF-COTTON-SWAB-MEDIUM-L-100MM,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-FIBER-LASER-CUTTING-HEAD,REF-RAYTOOLS-FIBER-LASER-CUTTING-HEAD,REF-RAYTOOLS-FIBER-LASER-CUTTING-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
BOCI-BLT421S-CUTTING-HEAD,REF-BOCI-BLT421S-CUTTING-HEAD,REF-BOCI-BLT421S-CUTTING-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-BM111-CUTTING-HEAD,REF-RAYTOOLS-BM111-CUTTING-HEAD,REF-RAYTOOLS-BM111-CUTTING-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-BM109-CUTTING-HEAD,REF-RAYTOOLS-BM109-CUTTING-HEAD,REF-RAYTOOLS-BM109-CUTTING-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
BOCI-BLT310-LASER-PROCESS-CUTTING-HEAD,REF-BOCI-BLT310-LASER-PROCESS-CUTTING-HEAD,REF-BOCI-BLT310-LASER-PROCESS-CUTTING-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-BM110-CUTTING-HEAD,REF-RAYTOOLS-BM110-CUTTING-HEAD,REF-RAYTOOLS-BM110-CUTTING-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-BM114-CUTTING-HEAD,REF-RAYTOOLS-BM114-CUTTING-HEAD,REF-RAYTOOLS-BM114-CUTTING-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-BM06K-CUTTING-HEAD,REF-RAYTOOLS-BM06K-CUTTING-HEAD,REF-RAYTOOLS-BM06K-CUTTING-HEAD,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RF-POWER-TRIODE,REF-RF-POWER-TRIODE,REF-RF-POWER-TRIODE,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
FESTO-AIR-FILTER,REF-FESTO-AIR-FILTER,REF-FESTO-AIR-FILTER,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
FIBER-LASER-PROTECTIVE-WINDOW,REF-FIBER-LASER-PROTECTIVE-WINDOW,REF-FIBER-LASER-PROTECTIVE-WINDOW,Standard,PIECE,1,10,MADE_TO_ORDER,true,0
LASER-PROTECTION-WINDOW,REF-LASER-PROTECTION-WINDOW,REF-LASER-PROTECTION-WINDOW,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-FOCUS-COLLIMATOR-LENS-FOCUS-LENSES,REF-RAYTOOLS-FOCUS-COLLIMATOR-LENS-FOCUS-LENSES,REF-RAYTOOLS-FOCUS-COLLIMATOR-LENS-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-ORIGINAL-COLLIMATOR-FOCUS-LENSES,REF-RAYTOOLS-ORIGINAL-COLLIMATOR-FOCUS-LENSES,REF-RAYTOOLS-ORIGINAL-COLLIMATOR-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOL-BM110-FUSED-SILICA-FOCUS-LENSES,REF-RAYTOOL-BM110-FUSED-SILICA-FOCUS-LENSES,REF-RAYTOOL-BM110-FUSED-SILICA-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOL-BM109-FUSED-SILICA-FOCUS-LENSES,REF-RAYTOOL-BM109-FUSED-SILICA-FOCUS-LENSES,REF-RAYTOOL-BM109-FUSED-SILICA-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOL-BM111-FOCUS-LENSES,REF-RAYTOOL-BM111-FOCUS-LENSES,REF-RAYTOOL-BM111-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOL-BM114-FUSED-SILICA-FOCUS-LENSES,REF-RAYTOOL-BM114-FUSED-SILICA-FOCUS-LENSES,REF-RAYTOOL-BM114-FUSED-SILICA-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
WSX-NC30-COLLIMATING-FOCUS-LENSES,REF-WSX-NC30-COLLIMATING-FOCUS-LENSES,REF-WSX-NC30-COLLIMATING-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
WSX-NC63-COLLIMATION-FOCUS-LENSES,REF-WSX-NC63-COLLIMATION-FOCUS-LENSES,REF-WSX-NC63-COLLIMATION-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-ORIGINAL-BM110-FOCUS-LENSES,REF-RAYTOOLS-ORIGINAL-BM110-FOCUS-LENSES,REF-RAYTOOLS-ORIGINAL-BM110-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
BOCI-BLT-310-COLLIMATING-FOCUS-LENSES,REF-BOCI-BLT-310-COLLIMATING-FOCUS-LENSES,REF-BOCI-BLT-310-COLLIMATING-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOLS-ORIGINAL-BM111-FOCUSING-COLLIMATING-FOCUS-LENSES,REF-RAYTOOLS-ORIGINAL-BM111-FOCUSING-COLLIMATING-FOC,REF-RAYTOOLS-ORIGINAL-BM111-FOCUSING-COLLIMATING-FOC,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
CO2-LASER-FOCUS-LENSES,REF-CO2-LASER-FOCUS-LENSES,REF-CO2-LASER-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
OSPRI-LC808-FOCUS-LENSES,REF-OSPRI-LC808-FOCUS-LENSES,REF-OSPRI-LC808-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
RAYTOOL-BM115-PLANO-FOCUS-LENSES,REF-RAYTOOL-BM115-PLANO-FOCUS-LENSES,REF-RAYTOOL-BM115-PLANO-FOCUS-LENSES,Standard,PIECE,1,1,MADE_TO_ORDER,true,0
