brand,model,variant,laser_type,power_watts
Raytools,BM110,1.5kW,FIBER,1500
Raytools,BM110,3kW,FIBER,3000
Raytools,BM111,2kW,FIBER,2000
Raytools,BM111,4kW,FIBER,4000
Raytools,BT240,3kW,FIBER,3000
Raytools,BT240,6kW,FIBER,6000
Raytools,BM114,6kW,FIBER,6000
Raytools,BM114,12kW,FIBER,12000
Precitec,ProCutter 2.0,4kW,FIBER,4000
Precitec,ProCutter 2.0,8kW,FIBER,8000
Precitec,LightCutter,1kW,FIBER,1000
Precitec,LightCutter,2kW,FIBER,2000
Precitec,HPSSL,3kW,FIBER,3000
WSX,NC30,3kW,FIBER,3000
WSX,NC60,6kW,FIBER,6000
WSX,NC60,12kW,FIBER,12000
WSX,KC15,1.5kW,FIBER,1500
Ospri,LC30,3kW,FIBER,3000
Ospri,LC50,5kW,FIBER,5000
