product_key,name,category_slug,part_brand_slug,product_type,hsn_code,gst_rate,short_description,description,attr:head-series,attr:nozzle-type,attr:material,attr:coating,attr:wavelength-range,attr:max-power,attr:sealing-type
RT-BM110-SL-H15,Raytools Single Layer Nozzle — H15,single-layer-nozzles,raytools,CONSUMABLE,84669390,18,Single layer copper cutting nozzle with H15 thread for Raytools BM-series heads.,"Precision-machined single layer nozzle for Raytools BM-series cutting heads with the H15 thread standard. Chrome-free electrolytic copper gives consistent beam alignment and predictable wear. Suited to nitrogen and compressed air cutting of mild steel, stainless and aluminium in thin to medium gauges.",BM110,Single Layer,Electrolytic Copper,None,1064-1080,6000,O-Ring
RT-BM110-SL-H20,Raytools Single Layer Nozzle — H20,single-layer-nozzles,raytools,CONSUMABLE,84669390,18,Single layer copper cutting nozzle with H20 thread for Raytools BM-series heads.,"Precision-machined single layer nozzle for Raytools BM-series cutting heads with the H20 thread standard. Chrome-free electrolytic copper gives consistent beam alignment and predictable wear. Suited to nitrogen and compressed air cutting of mild steel, stainless and aluminium in thin to medium gauges.",BM110,Single Layer,Electrolytic Copper,None,1064-1080,6000,O-Ring
RT-BM110-DL,Raytools Double Layer Nozzle,double-layer-nozzles,raytools,CONSUMABLE,84669390,18,"Double layer copper nozzle for Raytools BM-series heads, in H15 and H20 threads.","Double layer nozzle for oxygen-assisted cutting of thicker mild steel on Raytools BM-series heads. The twin-orifice design stabilises the assist gas column at higher standoff, reducing dross on sections above 6 mm. Available across both thread standards and the full diameter range.",BM110,Double Layer,Electrolytic Copper,None,1064-1080,6000,O-Ring
PC-PROCUTTER-SL,Precitec ProCutter Single Layer Nozzle,single-layer-nozzles,precitec,CONSUMABLE,84669390,18,"Single layer nozzle for Precitec ProCutter heads, in 12/15/18 mm heights.",Single layer cutting nozzle for Precitec ProCutter 2.0 cutting heads. Supplied across three body heights so standoff can be matched to the cutting programme without changing the head configuration. Machined from chrome-free copper for stable capacitive height sensing.,ProCutter 2.0,Single Layer,Copper (chrome-free),None,1030-1090,8000,Flat Seal
WSX-NC30-CR-H15,WSX NC30 Chrome-Plated Nozzle — H15,single-layer-nozzles,wsx,CONSUMABLE,84669390,18,"Chrome-plated nozzle for WSX NC-series heads, singly or in boxes of 10.","Chrome-plated single layer nozzle for WSX NC-series cutting heads. The plating extends service life in high-duty production compared with bare copper, at the cost of a slightly higher unit price. Larger diameters are supplied in boxes of ten.",NC30,Chrome-Plated,Copper,Chrome,1064-1080,6000,O-Ring
OS-CT-SPECIALIST,Ospri Ceramic-Tipped Nozzle — Specialist,single-layer-nozzles,ospri,SPARE_PART,84669390,18,Ceramic-tipped nozzle for reflective material cutting on Ospri LC-series heads.,Specialist ceramic-tipped nozzle for cutting highly reflective materials such as copper and brass on Ospri LC-series heads. The ceramic tip resists back-reflection damage that shortens the life of a conventional copper nozzle on these materials.,LC30,Ceramic-Tipped,Copper / Ceramic,None,1064-1080,5000,O-Ring
RT-PW-D279,Raytools Protective Window — D27.9,protective-windows,raytools,CONSUMABLE,90019000,18,"Fused silica protective window, 27.9 mm diameter, for Raytools BM-series heads.",Fused silica protective window with an anti-reflective coating on both faces. Protects the focus lens from spatter and fume. Supplied in the thicknesses used across the Raytools BM-series range.,BM110,,Fused Silica,AR Coated,1064-1080,6000,
RT-FL-D30,Raytools Focus Lens — D30,focus-lenses,raytools,COMPONENT,90021900,18,"Fused silica focusing lens, 30 mm diameter, in 100/125/150 mm focal lengths.",Plano-convex fused silica focusing lens for Raytools BM-series cutting heads. Anti-reflective coated for 1064-1080 nm. Focal length selection determines kerf width and the practical thickness range of the head.,BM110,,Fused Silica,AR Coated,1064-1080,6000,
RT-CR-M11,Raytools Ceramic Ring — M11,ceramic-rings,raytools,SPARE_PART,69091200,18,Insulating ceramic holder for Raytools BM-series cutting heads.,Insulating ceramic ring that carries the nozzle and provides the capacitive height-sensing reference. A cracked or contaminated ring is the most common cause of unstable height tracking.,BM110,,Ceramic,None,,6000,
LEI-KIT-BM110,Consumable Kit — Raytools BM110,consumable-kits,lei-select,KIT,84669390,18,The parts most often replaced together on a Raytools BM110 head.,"A single kit covering the consumables replaced together during routine BM110 maintenance: nozzles, protective windows and a ceramic ring. Ordering as a kit avoids the common situation of a machine standing idle because one of the three was missed.",BM110,,Mixed,,1064-1080,6000,
