product_key,sku,part_number,variant_name,price,price_type,uom,pack_size,min_order_qty,stock_qty,reorder_level,stock_status,is_default,position,attr:thread,attr:nozzle-height,attr:orifice-diameter,attr:outer-diameter,attr:thickness,attr:focal-length,attr:pack-contents
RT-BM110-SL-H15,NZ-RT-SL-H15-008,D0.8 H15,D0.8,790,FIXED,PIECE,1,1,42,15,IN_STOCK,false,0,H15,,0.8,28,,,
RT-BM110-SL-H15,NZ-RT-SL-H15-010,D1.0 H15,D1.0,850,FIXED,PIECE,1,1,118,15,IN_STOCK,true,10,H15,,1,28,,,
RT-BM110-SL-H15,NZ-RT-SL-H15-012,D1.2 H15,D1.2,850,FIXED,PIECE,1,1,96,15,IN_STOCK,false,20,H15,,1.2,28,,,
RT-BM110-SL-H15,NZ-RT-SL-H15-015,D1.5 H15,D1.5,890,FIXED,PIECE,1,1,14,15,LOW_STOCK,false,30,H15,,1.5,28,,,
RT-BM110-SL-H15,NZ-RT-SL-H15-020,D2.0 H15,D2.0,940,FIXED,PIECE,1,1,0,15,OUT_OF_STOCK,false,40,H15,,2,28,,,
RT-BM110-SL-H15,NZ-RT-SL-H15-025,D2.5 H15,D2.5,990,FIXED,PIECE,1,1,31,15,IN_STOCK,false,50,H15,,2.5,28,,,
RT-BM110-SL-H15,NZ-RT-SL-H15-030,D3.0 H15,D3.0,1040,FIXED,PIECE,1,1,27,15,IN_STOCK,false,60,H15,,3,28,,,
RT-BM110-SL-H15,NZ-RT-SL-H15-100,D10.0 H15,D10.0,1780,FIXED,PIECE,1,1,0,15,MADE_TO_ORDER,false,70,H15,,10,28,,,
RT-BM110-SL-H20,NZ-RT-SL-H20-008,D0.8 H20,D0.8,790,FIXED,PIECE,1,1,42,15,IN_STOCK,false,0,H20,,0.8,28,,,
RT-BM110-SL-H20,NZ-RT-SL-H20-010,D1.0 H20,D1.0,850,FIXED,PIECE,1,1,118,15,IN_STOCK,true,10,H20,,1,28,,,
RT-BM110-SL-H20,NZ-RT-SL-H20-012,D1.2 H20,D1.2,850,FIXED,PIECE,1,1,96,15,IN_STOCK,false,20,H20,,1.2,28,,,
RT-BM110-SL-H20,NZ-RT-SL-H20-015,D1.5 H20,D1.5,890,FIXED,PIECE,1,1,14,15,LOW_STOCK,false,30,H20,,1.5,28,,,
RT-BM110-SL-H20,NZ-RT-SL-H20-020,D2.0 H20,D2.0,940,FIXED,PIECE,1,1,0,15,OUT_OF_STOCK,false,40,H20,,2,28,,,
RT-BM110-SL-H20,NZ-RT-SL-H20-025,D2.5 H20,D2.5,990,FIXED,PIECE,1,1,31,15,IN_STOCK,false,50,H20,,2.5,28,,,
RT-BM110-SL-H20,NZ-RT-SL-H20-030,D3.0 H20,D3.0,1040,FIXED,PIECE,1,1,27,15,IN_STOCK,false,60,H20,,3,28,,,
RT-BM110-SL-H20,NZ-RT-SL-H20-100,D10.0 H20,D10.0,1780,FIXED,PIECE,1,1,0,15,MADE_TO_ORDER,false,70,H20,,10,28,,,
RT-BM110-DL,NZ-RT-DL-H15-010,D1.0 H15 DL,H15 / D1.0,1240,FIXED,PIECE,1,1,50,12,IN_STOCK,false,0,H15,,1,28,,,
RT-BM110-DL,NZ-RT-DL-H15-012,D1.2 H15 DL,H15 / D1.2,1252,FIXED,PIECE,1,1,52,12,IN_STOCK,false,10,H15,,1.2,28,,,
RT-BM110-DL,NZ-RT-DL-H15-015,D1.5 H15 DL,H15 / D1.5,1270,FIXED,PIECE,1,1,55,12,IN_STOCK,true,20,H15,,1.5,28,,,
RT-BM110-DL,NZ-RT-DL-H15-020,D2.0 H15 DL,H15 / D2.0,1300,FIXED,PIECE,1,1,60,12,IN_STOCK,false,30,H15,,2,28,,,
RT-BM110-DL,NZ-RT-DL-H15-025,D2.5 H15 DL,H15 / D2.5,1330,FIXED,PIECE,1,1,65,12,IN_STOCK,false,40,H15,,2.5,28,,,
RT-BM110-DL,NZ-RT-DL-H15-030,D3.0 H15 DL,H15 / D3.0,1360,FIXED,PIECE,1,1,70,12,IN_STOCK,false,50,H15,,3,28,,,
RT-BM110-DL,NZ-RT-DL-H20-010,D1.0 H20 DL,H20 / D1.0,1240,FIXED,PIECE,1,1,50,12,IN_STOCK,false,60,H20,,1,28,,,
RT-BM110-DL,NZ-RT-DL-H20-012,D1.2 H20 DL,H20 / D1.2,1252,FIXED,PIECE,1,1,52,12,IN_STOCK,false,70,H20,,1.2,28,,,
RT-BM110-DL,NZ-RT-DL-H20-015,D1.5 H20 DL,H20 / D1.5,1270,FIXED,PIECE,1,1,55,12,IN_STOCK,false,80,H20,,1.5,28,,,
RT-BM110-DL,NZ-RT-DL-H20-020,D2.0 H20 DL,H20 / D2.0,1300,FIXED,PIECE,1,1,60,12,IN_STOCK,false,90,H20,,2,28,,,
RT-BM110-DL,NZ-RT-DL-H20-025,D2.5 H20 DL,H20 / D2.5,1330,FIXED,PIECE,1,1,65,12,IN_STOCK,false,100,H20,,2.5,28,,,
RT-BM110-DL,NZ-RT-DL-H20-030,D3.0 H20 DL,H20 / D3.0,1360,FIXED,PIECE,1,1,70,12,IN_STOCK,false,110,H20,,3,28,,,
RT-BM110-DL,NZ-RT-DL-H20-035,D3.5 H20 DL,H20 / D3.5,1390,FIXED,PIECE,1,1,6,12,LOW_STOCK,false,120,H20,,3.5,28,,,
RT-BM110-DL,NZ-RT-DL-H20-040,D4.0 H20 DL,H20 / D4.0,1420,FIXED,PIECE,1,1,6,12,LOW_STOCK,false,130,H20,,4,28,,,
PC-PROCUTTER-SL,NZ-PC-SL-12-10,M11 H12 D1.0,12mm / D1.0,1504,FIXED,PIECE,1,1,42,10,IN_STOCK,false,0,M11,12,1,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-12-14,M11 H12 D1.4,12mm / D1.4,1520,FIXED,PIECE,1,1,42,10,IN_STOCK,false,10,M11,12,1.4,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-12-20,M11 H12 D2.0,12mm / D2.0,1544,FIXED,PIECE,1,1,42,10,IN_STOCK,false,20,M11,12,2,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-15-10,M11 H15 D1.0,15mm / D1.0,1540,FIXED,PIECE,1,1,45,10,IN_STOCK,false,30,M11,15,1,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-15-14,M11 H15 D1.4,15mm / D1.4,1556,FIXED,PIECE,1,1,45,10,IN_STOCK,true,40,M11,15,1.4,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-15-20,M11 H15 D2.0,15mm / D2.0,1580,FIXED,PIECE,1,1,45,10,IN_STOCK,false,50,M11,15,2,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-15-27,M11 H15 D2.7,15mm / D2.7,1608,FIXED,PIECE,1,1,45,10,IN_STOCK,false,60,M11,15,2.7,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-18-10,M11 H18 D1.0,18mm / D1.0,1576,FIXED,PIECE,1,1,48,10,IN_STOCK,false,70,M11,18,1,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-18-14,M11 H18 D1.4,18mm / D1.4,1592,FIXED,PIECE,1,1,48,10,IN_STOCK,false,80,M11,18,1.4,32,,,
PC-PROCUTTER-SL,NZ-PC-SL-18-20,M11 H18 D2.0,18mm / D2.0,1616,FIXED,PIECE,1,1,48,10,IN_STOCK,false,90,M11,18,2,32,,,
WSX-NC30-CR-H15,NZ-WSX-CR-H15-010,D1.0 H15,D1.0,1180,FIXED,PIECE,1,1,64,6,IN_STOCK,true,0,H15,15,1,28,,,
WSX-NC30-CR-H15,NZ-WSX-CR-H15-015,D1.5 H15,D1.5,1180,FIXED,PIECE,1,1,52,6,IN_STOCK,false,10,H15,15,1.5,28,,,
WSX-NC30-CR-H15,NZ-WSX-CR-H15-020,D2.0 H15,D2.0 (box of 10),12400,FIXED,PACK,10,1,8,6,LOW_STOCK,false,20,H15,15,2,28,,,10 nozzles per box
WSX-NC30-CR-H15,NZ-WSX-CR-H15-025,D2.5 H15,D2.5,,ON_REQUEST,PIECE,1,1,0,6,OUT_OF_STOCK,false,30,H15,15,2.5,28,,,
OS-CT-SPECIALIST,NZ-OS-CT-STD,OS-CT-1.5,Standard,4850,FIXED,PIECE,1,1,9,4,LOW_STOCK,true,0,M14,16,1.5,30,,,
RT-PW-D279,PW-RT-279-41,D27.9 T4.1,T4.1,420,FIXED,PIECE,1,1,210,40,IN_STOCK,true,0,,,,27.9,4.1,,
RT-PW-D279,PW-RT-279-15,D27.9 T1.5,T1.5,380,FIXED,PIECE,1,1,160,40,IN_STOCK,false,10,,,,27.9,1.5,,
RT-PW-D279,PW-RT-279-2,D27.9 T2.0,T2,395,FIXED,PIECE,1,1,88,40,IN_STOCK,false,20,,,,27.9,2,,
RT-FL-D30,FL-RT-D30-F100,D30 F100,F100,1250,FIXED,PIECE,1,1,34,10,IN_STOCK,true,0,,,,30,,100,
RT-FL-D30,FL-RT-D30-F125,D30 F125,F125,1320,FIXED,PIECE,1,1,21,10,IN_STOCK,false,10,,,,30,,125,
RT-FL-D30,FL-RT-D30-F150,D30 F150,F150,1390,FIXED,PIECE,1,1,12,10,LOW_STOCK,false,20,,,,30,,150,
RT-CR-M11,CR-RT-M11-STD,M11 H15,Standard,180,FIXED,PIECE,1,1,240,30,IN_STOCK,true,0,M11,15,,32,,,
RT-CR-M11,CR-RT-M11-HD,M11 H15,Heavy Duty,260,FIXED,PIECE,1,1,76,30,IN_STOCK,false,10,M11,15,,32,,,
LEI-KIT-BM110,KIT-BM110-STD,KIT-BM110,Standard Kit,2450,FIXED,SET,1,1,26,8,IN_STOCK,true,0,,,,,,,"5 nozzles, 3 windows, 1 ceramic ring"
LEI-KIT-BM110,KIT-BM110-PRO,KIT-BM110-P,Extended Kit,4680,FIXED,SET,1,1,11,8,LOW_STOCK,false,10,,,,,,,"10 nozzles, 6 windows, 2 ceramic rings"
